id;cliente;accion_id;accion;operacion;precio;cantidad;fecha_operacion;modo
1;29619;61443;neural Tanzania;Pound;5996;65212;2023-12-08;calculate Loan markets
2;56100;55901;grid-enabled;back-end;68679;44088;2023-12-07;Future systemic website
3;2289;56907;solid Taiwan;Car;67294;93749;2023-12-08;New Account
4;48257;65731;mobile Ergonomic complexity;back-end Central;20596;52118;2023-12-08;Beauty
5;83853;35530;Dam Dollar Loan;copying Bermuda monitoring;61621;13189;2023-12-08;tertiary reboot Awesome
6;15091;78975;Steel Rial program;utilisation driver;99733;74645;2023-12-08;Legacy Reactive
7;47820;67330;Technician Lead;grey;59537;85862;2023-12-07;Concrete
8;32153;46519;compressing Planner;invoice;63586;18134;2023-12-07;Facilitator
9;81308;42524;Steel B2C;microchip;43463;30614;2023-12-08;Triple-buffered
10;75710;75077;Garden models turn-key;vortals Turks;13670;12427;2023-12-07;Intelligent bluetooth
